codigo_onibus,placa,linha,latitude,longitude,velocidade,sentido,trajeto,hodometro,datahoracoleta,dataposicao,horaposicao
901008,,35,-22.965122,-43.391165,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],54463.9,2023-12-18 15:47:37,2023-12-18,15:15:54
901011,RIV8A74,0,-23.005848,-43.317769,54.0,,,57714.6,2023-12-18 15:47:37,2023-12-18,15:47:25
901018,,22,-23.006608,-43.312113,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],30998.3,2023-12-18 15:47:37,2023-12-18,15:47:16
901012,,22,-23.002292,-43.366072,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],50164.5,2023-12-18 15:47:37,2023-12-18,14:20:53
901014,,22,-23.006861,-43.312568,0.1,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],64387.7,2023-12-18 15:47:37,2023-12-18,15:36:05
901007,,22,-23.000143,-43.345228,53.8,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],51054.0,2023-12-18 15:47:37,2023-12-18,15:46:42
901009,,22,-23.000813,-43.366109,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],10835.5,2023-12-18 15:47:37,2023-12-18,15:47:21
901013,,51,-23.008659,-43.44049,0.0,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],60430.9,2023-12-18 15:47:37,2023-12-18,15:07:09
901010,RJM8G30,35,-22.973215,-43.384949,23.4,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],55213.0,2023-12-18 15:47:37,2023-12-18,15:47:30
901015,,35,-22.898727,-43.352926,7.6,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],47762.1,2023-12-18 15:47:37,2023-12-18,15:47:14
901047,,22,-22.964723,-43.392164,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],78305.4,2023-12-18 15:47:37,2023-12-18,15:06:04
901017,,22,-22.964563,-43.392153,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],49200.4,2023-12-18 15:47:37,2023-12-18,09:54:32
901063,,51,-22.967194,-43.397584,0.0,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],99910.2,2023-12-18 15:47:37,2023-12-18,15:47:16
901006,RJA9F56,22,-22.964513,-43.391882,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],52121.3,2023-12-18 15:47:37,2023-12-18,15:09:19
901005,RJB8E53,51,-23.008468,-43.439796,0.0,volta,51 - SENTIDO TERMINAL DEODORO (PARADOR) [VOLTA],66866.0,2023-12-18 15:47:37,2023-12-18,15:42:44
901004,RJQ8J80,53,-22.884575,-43.39959,14.7,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],45580.9,2023-12-18 15:47:37,2023-12-18,15:47:27
